"資料集名稱","檔案格式","下載連結","資料集類型","資料集描述","主要欄位說明","資料集提供機關","更新頻率" ,"授權方式","授權說明網址","計費方式","編碼格式","資料集提供機關聯絡人","資料集提供機關聯絡人電話","備註"
"地方文化館","json","http://cloud.culture.tw/frontsite/trans/emapOpenDataAction.do?method=exportEmapJson&typeId=C","rawData","提供地方文化館所在地址、管理處聯絡資訊、網址及地理位置等資訊。","主要欄位：名稱、地址、經度、緯度、開放時間、票價、網址等。","文化部","每周","文化部開放資料使用規範","http://cloud.culture.tw/frontsite/opendata/openCmsAction.do?method=viewUseDetail&menuId=10210","免費","UTF-8;","李小姐","02-2343-4184",""
"地方文化館","xls","http://cloud.culture.tw/frontsite/trans/emapOpenDataAction.do?method=exportEmapExcel&typeId=C","other","提供地方文化館所在地址、管理處聯絡資訊、網址及地理位置等資訊。","主要欄位：名稱、地址、經度、緯度、開放時間、票價、網址等。","文化部","每周","文化部開放資料使用規範","http://cloud.culture.tw/frontsite/opendata/openCmsAction.do?method=viewUseDetail&menuId=10210","免費","UTF-8;","李小姐","02-2343-4184",""
"工藝之家","xml","http://cloud.culture.tw/frontsite/trans/emapOpenDataAction.do?method=exportEmapXML&typeId=B","rawData","提供工藝之家所在地址、聯絡資訊及地理位置等資訊。","主要欄位：名稱、地址、經度、緯度、開放時間等。","文化部","每周","文化部開放資料使用規範","http://cloud.culture.tw/frontsite/opendata/openCmsAction.do?method=viewUseDetail&menuId=10210","免費","UTF-8;","陳小姐","04-22295848#667",""
"工藝之家","json","http://cloud.culture.tw/frontsite/trans/emapOpenDataAction.do?method=exportEmapJson&typeId=B","rawData","提供工藝之家所在地址、聯絡資訊及地理位置等資訊。","主要欄位：名稱、地址、經度、緯度、開放時間等。","文化部","每周","文化部開放資料使用規範","http://cloud.culture.tw/frontsite/opendata/openCmsAction.do?method=viewUseDetail&menuId=10210","免費","UTF-8;","陳小姐","04-22295848#667",""
"工藝之家","xls","http://cloud.culture.tw/frontsite/trans/emapOpenDataAction.do?method=exportEmapExcel&typeId=B","other","提供工藝之家所在地址、聯絡資訊及地理位置等資訊。","主要欄位：名稱、地址、經度、緯度、開放時間等。","文化部","每周","文化部開放資料使用規範","http://cloud.culture.tw/frontsite/opendata/openCmsAction.do?method=viewUseDetail&menuId=10210","免費","UTF-8;","陳小姐","04-22295848#667",""
"古蹟","xml","http://cloud.culture.tw/frontsite/trans/emapOpenDataAction.do?method=exportEmapXML&typeId=A&classifyId=1.1","rawData","主要提供古蹟之地點、所屬主管機關、網址及創建年代等資訊。","主要欄位：名稱、地址、經度、緯度、級別、所屬主管機關、來源網址、創建年代
等。","文化部","每周","文化部開放資料使用規範","http://cloud.culture.tw/frontsite/opendata/openCmsAction.do?method=viewUseDetail&menuId=10210","免費","UTF-8;","莊先生","04-22295848#660",""
"古蹟","json","http://cloud.culture.tw/frontsite/trans/emapOpenDataAction.do?method=exportEmapJson&typeId=A&classifyId=1.1","rawData","主要提供古蹟之地點、所屬主管機關、網址及創建年代等資訊。","主要欄位：名稱、地址、經度、緯度、級別、所屬主管機關、來源網址、創建年代
等。","文化部","每周","文化部開放資料使用規範","http://cloud.culture.tw/frontsite/opendata/openCmsAction.do?method=viewUseDetail&menuId=10210","免費","UTF-8;","莊先生","04-22295848#660",""
"古蹟","xls","http://cloud.culture.tw/frontsite/trans/emapOpenDataAction.do?method=exportEmapExcel&typeId=A&classifyId=1.1","other","主要提供古蹟之地點、所屬主管機關、網址及創建年代等資訊。","主要欄位：名稱、地址、經度、緯度、級別、所屬主管機關、來源網址、創建年代
等。","文化部","每周","文化部開放資料使用規範","http://cloud.culture.tw/frontsite/opendata/openCmsAction.do?method=viewUseDetail&menuId=10210","免費","UTF-8;","莊先生","04-22295848#660",""
"易發生婦幼被害犯罪地點","csv","http://data.moi.gov.tw/moiOD/System/DownloadFile.aspx?DS=DBB18796-8A89-4917-B4AB-D0AF26FAFEDC","rawData","提供近半年來易發生婦幼被害（強盜、搶奪、性侵害、妨害風化及傷害等）犯罪地點，或經民眾通報後，評估確為對婦幼安全堪虞之地點","編號、地點位置、管轄警察局、分局","內政部","每半年","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8;","渠小姐","02-2321-5846#6991",""
"民眾日常使用運具狀況調查","csv","http://event.motc.gov.tw/uploaddowndoc?file=opendata/201406180958290.zip&filedisplay=%E6%B0%91%E7%9C%BE%E6%97%A5%E5%B8%B8%E4%BD%BF%E7%94%A8%E9%81%8B%E5%85%B7%E7%8B%80%E6%B3%81%E8%AA%BF%E6%9F%A5.zip&flag=doc","rawData","各縣市民眾平常日使用運具之情形、民眾未使用公共運輸工具之原因、民眾使用公共運輸工具之滿意度及不滿意的原因。本資料集為本部最近一次調查之原始資料，請至[交通部首頁>交通統計>公共運輸市占率]查詢有關歷次調查摘要分析及結果表","性別、年齡、教育程度、外出較常使用運具、外出最常使用運具、昨天有沒有外出、昨天一整天外出所從事的每一個活動目的、地點、使用運具及花費時間、民眾未使用公共運輸工具之原因、民眾使用公共運輸工具之滿意度及不滿意的原因。","交通部","每年","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8;","葉先生","02-23492712",""
"小客貨車租賃業營運狀況調查資料","csv","http://event.motc.gov.tw/uploaddowndoc?file=opendata/201406181002080.zip&filedisplay=101%E5%B9%B4%E5%B0%8F%E5%AE%A2%E8%B2%A8%E7%A7%9F%E8%B3%83%E6%A5%AD%E8%AA%BF%E6%9F%A5.zip&flag=doc","rawData","臺閩地區小客貨車租賃業公司基本資料、經營短租、長租營運狀況、出租車輛行駛、保險、違規及肇事狀況、對相關措施之意見及未來展望。本資料集為本部最近一次調查之原始資料，請至[交通部首頁>交通統計>調查統計提要分析]查詢有關歷次調查摘要分析及結果表","公司經營項目、經營期間、租期型態、營業車輛數、靠行車輛數及平均每輛每月靠行費、員工總人數、支薪司機人數、平均每位司機每月薪資、平均每天營業時間、與其他相關產業業者策略聯盟、在交通場站租設專櫃之營業額比例、短租主要租車人之性別、年齡、客戶來源、租車用途、較常租車天數、平常日與例假日短租車輛出租率、短租車輛平常保養維修費、租車人未將車輛歸還之車輛數、提供或代僱司機服務之比例、每輛租賃小客貨車出租1天之平均收費、平均每輛短租車之租金收入、短租收入與上年比較、最主要之長租客戶、每次租期、租車用途、租購者所占比例、平均每輛長租車之租金收入、長租收入與上年比較、長租收入占總收入之比率、全年整體營運收入與上年比較、營業車輛投保種類、平均每輛營業車輛之保險費、所有出租車輛違規被照相逕行舉發件數、使用交通部核定之「小客車租賃定型化契約範本」情形、業者認為同業間利用自用車變相經營租賃車業務、非小客貨車租賃業者違法經營小客貨車租賃業務情形。","交通部","不定期","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","Unicode;","周小姐","02-23492711",""
"98年自行車使用狀況調查","csv","http://event.motc.gov.tw/uploaddowndoc?file=opendata/201406180942140.zip&filedisplay=98%E5%B9%B4%E8%87%AA%E8%A1%8C%E8%BB%8A%E4%BD%BF%E7%94%A8%E7%8B%80%E6%B3%81%E8%AA%BF%E6%9F%A5.zip&flag=doc","rawData","臺灣地區民眾使用自行車的型態、對自行車騎乘規範的認知程度，以及對市區內設置自行車專用道的看法。","自行車的使用型態、騎自行車通勤(學)的潛在需求、對自行車行車安全的看法、對自行車專用道的看法、估算預計購買新單車的花費及平均每人有幾輛自行車、受訪者基本資料。","交通部","一次性","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","Unicode","段小姐","02-23492719",""
"民眾對交通部施政措施滿意度調查","csv","http://event.motc.gov.tw/uploaddowndoc?file=opendata/201406180950460.zip&filedisplay=%E6%B0%91%E7%9C%BE%E5%B0%8D%E4%BA%A4%E9%80%9A%E9%83%A8%E6%96%BD%E6%94%BF%E6%8E%AA%E6%96%BD%E6%BB%BF%E6%84%8F%E5%BA%A6%E8%AA%BF%E6%9F%A5%28102%29.zip&flag=doc","rawData","民眾對交通各業之滿意度及對交通施政措施之看法。本資料集為本部最近一次調查之原始資料，請至[交通部首頁>交通統計>調查統計提要分析]查詢有關歷次調查摘要分析及結果表。","民眾對郵政、民用航空(不含桃園國際機場)、桃園國際機場、公路監理、臺鐵、高速公路、觀光、氣象等業務之接觸情形、對各項服務的滿意度、整體滿意度及評價，以及對交通部施政措施之看法，受訪者基本資料。","交通部","每年","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","Unicode","段小姐","02-23492719",""
"計程車營運狀況調查","csv","http://event.motc.gov.tw/uploaddowndoc?file=opendata/201412151052100.zip&filedisplay=102%E5%B9%B4%E8%A8%88%E7%A8%8B%E8%BB%8A%E7%87%9F%E9%81%8B%E7%8B%80%E6%B3%81%E8%AA%BF%E6%9F%A5.zip&flag=doc","rawData","全國計程車之持有管理、使用、收支情形。*本資料集為本部最近一次調查之原始資料，請至[交通部首頁>交通統計>調查統計提要分析]查詢有關歷次調查摘要分析及結果表。","性別、年齡、教育程度、駕駛計程車年資、選擇開計程車之最主要原因、居住縣市、主要營業縣市、專職或兼職、使用燃料、經營型態、計費方式、載客方式、車主購買當時為新車或二手車、已行駛公里數、每天行駛公里數、每月放假天數、主要營業時段、每天營業時數、每天空車時數、每天空繞行駛里程、每天載客趟數、燃油效率、交通事故情形、幾年後汰舊換新、有無每月提撥定額換車基金、有無考慮停開計程車、有無加入無線電或衛星派遣車隊、有無提供乘客車資折扣、乘客車資折扣負擔比例、不加入派遣車隊之原因、購買情形、廣告物設置情形、每天燃料支出、全年保養維修費、保險種類、全年保險費、每月管理（服務）費用、每月停車費、每天營業總收入。","交通部","每兩年","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8;","葉先生","02-23492713",""
"遊覽車營運狀況調查","csv","http://event.motc.gov.tw/uploaddowndoc?file=opendata/201412151054390.zip&filedisplay=102%E9%81%8A%E8%A6%BD%E8%BB%8A%E7%87%9F%E9%81%8B%E7%8B%80%E6%B3%81%E8%AA%BF%E6%9F%A5.zip&flag=doc","rawData","遊覽車之基本資料、行駛里程及能源使用情況、車輛保養及維修費用、車輛營運狀況、配屬人員基本資料、公司基本資料、營運狀況與未來展望及對政府採取之輔導管理措施等之意見。*本資料集為本部最近一次調查之原始資料，請至[交通部首頁>交通統計>調查統計提要分析]查詢有關歷次調查摘要分析及結果表。","(1)車輛表：遊覽車基本資料、駕駛員年齡、教育程度、從事遊覽車駕駛年數、已服務年資、平均每月本(底)薪、獎金及額外收入、使用燃油種類、每公升柴(汽)油可行駛里程數及全年行駛里程數、經營型態、行駛日數、全年營運總(淨)收入、行駛總次數、平均每次載客人數及事故情形、有無考慮停開遊覽車及原因、判定遊覽車好壞的最主要考量因素。(2)公司表：公司經營車隊組成、員工人數及司機短缺情形、營運收入較上年成長衰退之幅度及原因、預期營運收入、有無增車計畫、是否與相關產業結合進行促銷、平均一天所出車輛占總營運車輛的比例、業者認為政府推動之施政措施中，有那些對改善遊覽車之行車品質及預防交通事故較有幫助、安全考核及服務品質評鑑是否會促使業者更重視行車安全。","交通部","每兩年","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8;","周小姐","02-23492711",""
"100年世界前10名國際機場之客運量排名與成長率","csv","http://www.iot.gov.tw/public/Data/39215194171.csv","rawData","本資料集主要提供民眾國際機場之客運量排名資訊","機場別、進出旅客人次、排  名、成長率","交通部運輸研究所","每年","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8;","林小姐","02-23496847",""
"100年世界前10大國際機場之貨運量、排名與成長率","csv","http://www.iot.gov.tw/public/Data/39215192171.csv","rawData","本資料集主要提供民眾國際機場之貨運量排名資訊","機場別、進出貨物噸數、排  名、成長率","交通部運輸研究所","每年","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8;","林小姐","02-23496847",""
"其他部分國家高速鐵路長度比較表","csv","http://www.iot.gov.tw/public/Data/39215195971.csv","rawData","本資料集主要提供民眾部分國家高速鐵路資訊","國別、高速鐵路長度、高速鐵路密度","交通部運輸研究所","每年","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8;","林小姐","02-23496847",""
"其他部分國家鐵路長度比較表","csv","http://www.iot.gov.tw/public/Data/39215202071.csv","rawData","本資料集主要提供民眾部分國家鐵路資訊","國別、鐵路名稱、營業公里、電化區間、鐵路密度、電化比例","交通部運輸研究所","每年","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8;","林小姐","02-23496847",""
"勞保投保薪資分級表","csv","http://opendata.mol.gov.tw/datastore/勞保投保薪資分級表.csv","rawData","提供投保單位及被保險人查對月薪資總額適用之投保薪資等級","投保薪資等級、月薪資總額、月投保薪資、日投保薪資","勞動部勞工保險局","不定期","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8;","陳先生","02-23961266#1648","介紹文稿內容：勞工保險投保薪資分級表係提供投保單位於核算員工月薪資總額後，檢視其適用之等級金額，該金額係以新臺幣元為單位，日投保薪資金額角以下四捨五入。另下列薪資報酬未達基本工資之被保險人，分別依其各自適用之投保薪資等級申報： 1. 職業訓練機構受訓者及童工，其月投保薪資分13,500元（13,500元以下者）、15,840元（13,501元至15,840元）、16,500元（15,841元至16,500元）、17,280元（16,501元至17,280元）、17,880元（17,281元至17,880元）及19,047元（17,881元至19,047元）六級，其餘年滿16歲以上被保險人之月投保薪資，應依本表所適用之等級覈實申報。 2. 部分工時勞工保險被保險人，其月投保薪資分11,100元(11,100元以下者)及12,540元(11,101元至12,540元)二級，其薪資總額超過12,540元者，應依前項規定覈實申報。 3. 依身心障礙者權益保障法規定之庇護性就業身心障礙者被保險人，其月投保薪資分6,000元（6,000元以下）、7,500元（6,001元至7,500元）、8,700元（7,501元至8,700元）、9,900元（8,701元至9,900元）、11,100元（9,901元至11,100元）、12,540元(11,101元至12,540元)，其薪資總額超過12,540元者，應依上述第1項規定覈實申報。"
"勞就保保險費分擔金額表","csv","http://opendata.mol.gov.tw/datastore/勞就保保險費分擔金額表.csv","rawData","提供投保單位及被保險人查詢每月個別應負擔之勞、就保保險費","序號、普通費率、就保費率、投保薪資、勞工應負擔保費金額、單位應負擔保費金額","勞動部勞工保險局","不定期","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8;","陳先生","02-23961266#1648","介紹文稿內容：勞就保合計之月負擔保險費金額表係提供各投保單位及被保險人，依據個別投保薪資等級，據以查詢個別應負擔之保險費。"
"職業工會會員勞保月負擔保險費金額表","csv","http://opendata.mol.gov.tw/datastore/職業工會會員勞保月負擔保險費金額表.csv","rawData","提供職業工會及所屬會員查詢每月個別應負擔保險費","序號、職災費率、普通費率、投保薪資、月負擔保險費金額","勞動部勞工保險局","不定期","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8;","陳先生","02-23961266#1648","介紹文稿內容：職業工會會員勞工保險月負擔保險費金額表係提供各職業工會及所屬會員，視其投保薪資等級，據以查詢其應負擔之保險費。"
"漁會會員勞保月負擔保險費金額表","csv","http://opendata.mol.gov.tw/datastore/漁會會員勞保月負擔保險費金額表.csv","rawData","提供漁會及所屬會員查詢每月個別應負擔保險費","投保薪資等級、月投保薪資、會員每月應負擔保險費金額","勞動部勞工保險局","不定期","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8;","陳先生","02-23961266#1648","介紹文稿內容：漁會會員勞工保險月負擔保險費金額表係提供各地區漁會及所屬會員，視其投保薪資等級，據以查詢其應負擔之保險費。"
"職業災害保險適用行業別及費率表","csv","http://opendata.mol.gov.tw/datastore/職業災害保險適用行業別及費率表.csv","rawData","提供投保單位查詢其單位適用之職災費率","大分類、編號、行業類別、行業別費率%、上下班費率%、職災費率%","勞動部勞工保險局","不定期","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8;","陳先生","02-23961266#1648","介紹文稿內容：勞工保險職業災害保險適用行業別及費率表係提供投保單位計算員工職業災害保險費使用；另本表依規定每3年調整一次，此次提供之版本，係依照行政院勞工委員會101年10月18日勞保3字第1010140428號函發布修正之「勞工保險職業災害保險適用行業別及費率表」，自102年1月1日起實施，費率表的上、下班災害費率採單一費率為0.06%，行業分類由現行的16大分類，61種行業別改為19大分類，55種行業別。另為激勵雇主重視改善勞工安全衛生設施、提升工作環境品質，達到預防並減少職業災害發生之目的，勞工保險職業災害保險採實績費率制， 102年度勞工保險職業災害保險實績費率適用單位，為100年7月1日起至101年6月30日止，平均僱用被保險人數達70人以上之投保單位，其行業別災害費率應按其98年至100年職業災害保險給付總額占應繳職業災害保險費總額之比率高低計算調整，再加計上、下班災害費率0.06%，即為其102年度適用之勞保職災費率。"
"職業重建單位名單","csv","http://opendata.mol.gov.tw/datastore/職業重建單位名單.csv","rawData","職業重建單位提供職災勞工就近性之工作能力評估及強化、心理輔導及社會適應、職業輔導評量、就業服務及職務再設計等職業重建服務。","區域、辦理服務單位名稱、地址、聯絡人、聯絡電話","勞動部勞工保險局","不定期","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8;","吳小姐","02-23961266#3289","介紹文稿內容：勞工保險局提供辦理「職業災害勞工職業重建服務」等15個單位資料，歡迎各界多加利用職災勞工受傷後，面臨的是生理及心理的雙重創傷，除了醫療的照護與復健，亦須職災後生理功能的強化與心理及社會適應等重建的配合。勞工保險局補助的各「職業災害勞工職業重建服務單位」，提供職災勞工心理輔導及社會適應、工作能力評估及強化、職務再設計、職業輔導評量、就業服務、法律諮商及心理諮詢等重建服務。各職業災害勞工職業重建服務單位之服務窗口及聯絡方式等資料，建置於勞工保險局網頁(勞工保險局全球資訊網首頁＞職災保護＞職業重建單位)，可查閱參考多加利用。"
"投保農會名稱與地址一覽表","csv","http://opendata.mol.gov.tw/datastore/投保農會名稱與地址一覽表.csv","rawData","提供各縣市基層農會名稱與地址，便利民眾至農會辦理農保、健保、金融服務、農業推廣等相關服務。","縣市別、農會名稱、地址","勞動部勞工保險局","不定期","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8;","戴小姐","02-23961266#1020","介紹文稿內容：提供各縣市基層農會名稱與地址，便利民眾至農會辦理農保、健保、金融服務、農業推廣等相關服務，以提升農民生活品質。"
"勞保局國保業務研討會辦理地區場次","csv","http://opendata.mol.gov.tw/datastore/勞保局國保業務研討會辦理地區場次.csv","rawData","國民年金業務研討會相關資訊","場次、辦理地區、日期、時間、地點、合辦單位、報名電話","勞動部勞工保險局","不定期","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8;","楊小姐","02-23961266#6010","介紹文稿內容：台灣地區已進入高齡社會，隨著平均壽命的延長，出生率的下降，老人的人數和比例呈現顯著成長，因此提供老年國民生活之經濟安全保障，已成為我國社會安全體系重要的一環。國內無相關社會保險者約400萬人，國民年金保險的開辦提供未能獲得適足保障的國民基本經濟安全。為使民眾了解國民年金保險相關資訊，並重視自身的權益，本局以辦理研討會的方式向民眾宣導，並將各研討會的場次、報名時間、日期等相關資訊集中列示於政府資料開放平臺，歡迎各界查詢應用。"
"直轄市或縣（市）政府辦理身心障礙鑑定指定醫療機構名冊","csv","http://opendata.mol.gov.tw/datastore/直轄市或縣（市）政府辦理身心障礙鑑定指定醫療機構名冊.csv","rawData","直轄市或縣（市）政府辦理身心障礙鑑定指定醫療機構名冊","醫院所在縣市、序號、醫院中文名稱、醫院電話號碼區域碼、醫院電話號碼、醫院地址","勞動部勞工保險局","不定期","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8;","張小姐","02-23961266#6229","介紹文稿內容：國民年金身心障礙年金給付需經中央衛生主管機關評鑑合格之醫院診斷為重度以上身心障礙，且經評估無工作能力，若身心障礙「手冊」或「證明」不屬於「國民年金保險身心障礙（基本保證）年金視為無工作能力身心障礙類別及等級表」中視為無工作能力的類別及等級，必須經直轄市或縣（市）政府辦理身心障礙鑑定指定醫療機構評估工作能力，目前可辦理身心障礙鑑定之醫療機構計有241家列表如下，您可以透過本平台點選「直轄市或縣（市）政府辦理身心障礙鑑定指定醫療機構名冊」查詢下載應用。"
"國民年金保險費代收及轉帳代繳金融機構一覽表","csv","http://opendata.mol.gov.tw/datastore/國民年金保險費代收及轉帳代繳金融機構一覽表.csv","rawData","代收國民年金保險費金融機構","金資代號、金融機構名稱、代收國保費、轉帳代繳國保費、網路ATM 繳納國保費、網路ATM金融卡","勞動部勞工保險局","不定期","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8;","李小姐","02-23961266#6406","介紹文稿內容：提供接受本局委託(或接受複委託) 辦理臨櫃代收及轉帳代繳國民年金保險費之金融機構資料。"
"勞工保險局委託代收、轉帳保險費金融機構一覽表","csv","http://opendata.mol.gov.tw/datastore/勞工保險局委託代收、轉帳保險費金融機構一覽表.csv","rawData","勞工保險局委託代收、轉帳保險費金融機構名稱","主辦銀行、複委託銀行、金資代號、代收、轉帳、網路銀行、網路ATM","勞動部勞工保險局","不定期","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8;","江小姐","02-23961266#2817","介紹文稿內容：提供辦理勞工保險費代收及轉帳代繳之金融機構資料。"
"職業工會、漁會欠費名單","csv","http://opendata.mol.gov.tw/datastore/職業工會、漁會欠費名單.csv","rawData","尚積欠勞保費之職業工會、漁會","職業工會、漁會名稱","勞動部勞工保險局","不定期","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8;","葉先生","02-23961266#2833","介紹文稿內容：每月公布積欠勞保費之職業工會、漁會名單，提醒被保險人注意職業工會、漁會財務運作狀況，另被保險人至職業工會、漁會繳交勞保費時，務必向職業工會、漁會索取收據或繳費證明並妥善保存，以保障日後領取勞保給付權益。"
"勞工保險預防職業病健康檢查之檢查對象及項目","csv","http://opendata.mol.gov.tw/datastore/勞工保險預防職業病健康檢查之檢查對象及項目.csv","rawData","實際從事「勞工健康保護規則」所列特別危害健康作業，且最近加保年資連續滿1年以上之被保險人，可由投保單位提出申請勞工保險預防職業病健康檢查。","檢查類別代號、檢查對象、檢查項目","勞動部勞工保險局","不定期","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8;","陳小姐","02-23961266#2912","介紹文稿內容：為維護被保險人健康，勞保局辦理勞工保險預防職業病健康檢查，俾及早發現職業病初期徵兆，早日治療。從事「勞工健康保護規則」所列特別危害健康作業之勞工，最近加保年資至勞保局受理申請日止，連續滿1年以上者，每年得申請本項檢查1次（與上次申請時間應間隔1年）。"
"評鑑合格之地區教學醫院名單","csv","http://opendata.mol.gov.tw/datastore/評鑑合格之地區教學醫院名單.csv","rawData","提供勞工因眼、耳、咀嚼吞嚥及言語機能、胸腹部臟器(機能失能)、脊柱畸形或運動失能、皮膚或上下肢機能失能者，得就近至評鑑合格醫院開具勞保失能診斷書，申請勞保失能給付。所在縣市、醫院名稱、醫院層級、醫院評鑑合格效期、教學評鑑合格效期、醫院電話、醫院地址","檢查類別代號、檢查對象、檢查項目","勞動部勞工保險局","不定期","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8;","張小姐","02-23961266#1303","介紹文稿內容：「勞保失能給付」中，部分失能項目(眼、耳、咀嚼吞嚥及言語機能、胸腹部臟器(機能失能)、脊柱畸形或運動失能、皮膚或上下肢機能失能)基於認定技術及設備需要，其開具失能診斷書之全民健康保險特約醫院，須屬地區教學醫院以上、行政院衛生署新制醫院評鑑優等以上、新制醫院評鑑及新制教學醫院評鑑合格之醫院，為提供民眾正確有效的資訊，特將評鑑合格醫院名單之資料集提供於政府資料開放平臺。"
"勞工退休金繳納方式","csv","http://opendata.mol.gov.tw/datastore/勞工退休金繳納方式.csv","rawData","為便利提繳單位繳納勞工退休金，提供多種繳納方式。","繳納機構、金資代號、臨櫃代收、轉帳代繳、網路銀行、網路ATM、應繳金額限制、手續費","勞動部勞工保險局","不定期","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8;","李小姐","02-23961266#5280","介紹文稿內容：勞退新制勞工退休金，由勞保局按月依雇主申報之勞工提、停繳日期、提繳工資及提繳率等資料逐一計算個別勞工之雇主提繳退休金、個人自願提繳退休金，並分別彙總開具繳款單，於次月25日前連同計算名冊一併寄發，雇主應於再次月底前繳納。為便利雇主繳納勞工退休金，雇主可持繳款單至勞保局指定之代收金融機構或便利商店臨櫃繳納，亦可向勞保局指定之轉帳代繳金融機構申請以轉帳代繳方式繳納，或透過提供網路銀行、網路ATM繳納勞工退休金服務之金融機構網路繳納。"
"勞退個人專戶查詢管道","csv","http://opendata.mol.gov.tw/datastore/勞退個人專戶查詢管道.csv","rawData","提供多種查詢管道，方便勞工查詢雇主是否有提繳勞工退休金及勞退個人專戶金額。","查詢方式、查詢地點、查詢功能、說明","勞動部勞工保險局","不定期","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8;","李小姐","02-23961266#5280","介紹文稿內容：勞工退休金個人專戶，係以勞工之國民身分證統一編號、姓名及出生年月日為帳號，記載其每段工作期間雇主按月為其提繳之退休金、勞工個人自願提繳之退休金及每年分配之收益資料，基於個人資料保護，非專戶本人不得查詢。勞保局目前提供自然人憑證、勞動保障卡、郵政金融卡、臨櫃、個人智慧型手機、平板電腦APP等多種查詢管道，便利勞工查詢雇主是否有提繳勞工退休金及勞退個人專戶金額，維護自身的退休金權益。"
"勞工退休金月提繳工資分級表","csv","http://opendata.mol.gov.tw/datastore/勞工退休金月提繳工資分級表.csv","rawData","雇主應按勞工每月實際工資總額，依「勞工退休金月提繳工資分級表」規定之等級金額覈實申報月提繳工資。","月提繳工資等級、實際工資(元)、月提繳工資(元)","勞動部勞工保險局","不定期","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8;","李小姐","02-23961266#5280","介紹文稿內容：雇主應按勞工每月實際工資總額，依「勞工退休金月提繳工資分級表」之等級金額覈實申報月提繳工資，勞保局按月依月提繳工資、雇主提繳率及全月在職情形計算雇主為勞工提繳之勞工退休金金額。故月提繳工資之正確申報將影響勞工退休金金額之多寡，關係勞工權益至鉅。"
"積欠工資墊償歷年統計","csv","http://opendata.mol.gov.tw/datastore/積欠工資墊償歷年統計.csv","rawData","自76年開辦後歷年墊償件數、單位數、人數、金額統計數據","統計期間（年度）、墊付件數、墊付家數、應墊付金額、已墊付金額","勞動部勞工保險局","每年","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8;","黎小姐","02-23961266#2915","介紹文稿內容：工資是勞工提供勞務的報酬，也是勞工及其家庭的重要經濟來源，為此政府特別在勞動基準法第28條訂定積欠工資墊償基金制度，以發揮企業互助精神，加強對工資的保障。積欠工資墊償基金是由「行政院勞工委員會積欠工資墊償基金管理委員會」管理，基金的收繳及墊償有關業務則委任勞工保險局辦理，有關基金提繳、墊償與管理的規定，訂有積欠工資墊償基金提繳及墊償管理辦法。凡適用勞基法行業之雇主應按當月僱用勞工投保薪資總額及規定的費率（目前為萬分之2.5），繳納一定數額的積欠工資墊償基金，當事業單位因歇業、清算或宣告破產所積欠勞工的工資未滿6個月部份，經勞工向雇主請求而不能獲得清償時，可以向勞工保險局申請積欠工資墊償，經勞保局查證屬實，即可將積欠的工資代墊給勞工，勞保局再向雇主請求於規定期限內，將墊款償還積欠工資墊償基金。"
